X (cm)	Y (cm)	Z
0.150000	-0.450000	64.107567
-0.000000	-0.450000	69.353073
-0.150000	-0.450000	74.858536
-0.300000	-0.450000	80.565506
-0.450000	-0.450000	86.343674
-0.600000	-0.450000	92.099945
-0.750000	-0.450000	97.630699
-0.900000	-0.450000	102.829514
-1.050000	-0.450000	107.358665
-1.200000	-0.450000	111.156021
-1.350000	-0.450000	113.916321
-1.500000	-0.450000	115.588425
-1.650000	-0.450000	116.149612
-1.800000	-0.450000	115.616806
-1.950000	-0.450000	114.083496
-2.100000	-0.450000	111.598618
-2.250000	-0.450000	108.417557
-2.250000	-0.600000	98.773048
-2.100000	-0.600000	101.594200
-1.950000	-0.600000	103.667236
-1.800000	-0.600000	104.899460
-1.650000	-0.600000	105.325027
-1.500000	-0.600000	104.814713
-1.350000	-0.600000	103.285561
-1.200000	-0.600000	100.836723
-1.050000	-0.600000	97.507347
-0.900000	-0.600000	93.525940
-0.750000	-0.600000	88.980515
-0.600000	-0.600000	84.177017
-0.450000	-0.600000	79.162987
-0.300000	-0.600000	74.099243
-0.150000	-0.600000	69.082947
0.000000	-0.600000	64.182098
0.150000	-0.600000	59.519173
0.300000	-0.600000	55.038593
0.450000	-0.600000	50.844326
0.600000	-0.600000	46.916897
0.750000	-0.600000	43.292114
0.900000	-0.600000	39.936840
1.050000	-0.600000	36.827396
1.200000	-0.600000	33.960915
1.350000	-0.600000	31.302515
1.500000	-0.600000	28.865072
1.650000	-0.600000	26.618927
1.800000	-0.600000	24.527790
1.950000	-0.600000	22.637159
2.100000	-0.600000	20.930073
2.250000	-0.600000	19.335529
2.250000	-0.750000	18.470287
2.100000	-0.750000	20.005522
1.950000	-0.750000	21.597551
1.800000	-0.750000	23.376268
1.650000	-0.750000	25.291615
1.500000	-0.750000	27.351599
1.350000	-0.750000	29.595663
1.200000	-0.750000	32.015491
1.050000	-0.750000	34.626484
0.900000	-0.750000	37.457130
0.750000	-0.750000	40.490292
0.600000	-0.750000	43.729145
0.450000	-0.750000	47.239178
0.300000	-0.750000	50.969891
0.150000	-0.750000	54.922741
-0.000000	-0.750000	59.052368
-0.150000	-0.750000	63.352089
-0.300000	-0.750000	67.729057
-0.450000	-0.750000	72.145973
-0.600000	-0.750000	76.489204
-0.750000	-0.750000	80.644409
-0.900000	-0.750000	84.544403
-1.050000	-0.750000	87.974899
-1.200000	-0.750000	90.867119
-1.350000	-0.750000	92.990479
-1.500000	-0.750000	94.348694
-1.650000	-0.750000	94.842545
-1.800000	-0.750000	94.526001
-1.950000	-0.750000	93.563873
-2.100000	-0.750000	91.808731
-2.250000	-0.750000	88.826424
-2.100000	-0.900000	82.450287
-1.950000	-0.900000	83.922081
-1.800000	-0.900000	84.724388
-1.650000	-0.900000	84.937904
-1.500000	-0.900000	84.468254
-1.350000	-0.900000	83.305695
-1.200000	-0.900000	81.476036
-1.050000	-0.900000	79.038734
-0.900000	-0.900000	76.104324
-0.750000	-0.900000	72.766685
-0.600000	-0.900000	69.213455
-0.450000	-0.900000	65.467026
-0.300000	-0.900000	61.655933
-0.150000	-0.900000	57.852730
0.000000	-0.900000	54.089668
0.150000	-0.900000	50.475735
0.300000	-0.900000	46.991428
0.450000	-0.900000	43.709709
0.600000	-0.900000	40.605553
0.750000	-0.900000	37.707829
0.900000	-0.900000	34.988110
1.050000	-0.900000	32.449684
1.200000	-0.900000	30.088421
