X (cm)	Y (cm)	Z
-0.750000	0.600000	243.226105
-0.600000	0.600000	249.410492
-0.450000	0.600000	254.429962
-0.300000	0.600000	258.233673
-0.150000	0.600000	260.774475
0.000000	0.600000	261.991180
0.150000	0.600000	261.875214
0.300000	0.600000	260.427185
0.450000	0.600000	257.691315
0.600000	0.600000	253.687057
0.750000	0.600000	248.507050
0.900000	0.600000	242.175171
1.050000	0.600000	234.668976
1.200000	0.600000	226.136795
1.350000	0.600000	216.511185
1.500000	0.600000	206.041382
1.650000	0.600000	194.675751
1.800000	0.600000	182.658340
1.950000	0.600000	170.197601
2.100000	0.600000	157.423355
2.250000	0.600000	144.430878
2.250000	0.450000	147.439850
2.100000	0.450000	160.514832
1.950000	0.450000	173.476532
1.800000	0.450000	186.170593
1.650000	0.450000	198.317001
1.500000	0.450000	209.782547
1.350000	0.450000	220.363113
1.200000	0.450000	230.065155
1.050000	0.450000	238.696335
0.900000	0.450000	246.264008
0.750000	0.450000	252.685349
0.600000	0.450000	257.961639
0.450000	0.450000	262.047119
0.300000	0.450000	264.874817
0.150000	0.450000	266.358887
-0.000000	0.450000	266.494415
-0.150000	0.450000	265.271301
-0.300000	0.450000	262.680878
-0.450000	0.450000	258.827911
-0.600000	0.450000	253.721024
-0.750000	0.450000	247.460052
-0.900000	0.450000	240.038696
-1.050000	0.450000	231.509201
-1.200000	0.450000	221.990555
-1.350000	0.450000	211.621170
-1.500000	0.450000	200.318863
-1.650000	0.450000	188.650864
-1.800000	0.450000	176.202744
-1.950000	0.450000	163.470352
-2.100000	0.450000	150.494659
-2.250000	0.450000	137.995651
-2.250000	0.300000	139.808258
-2.100000	0.300000	152.637482
-1.950000	0.300000	165.782990
-1.800000	0.300000	178.500214
-1.650000	0.300000	190.980133
-1.500000	0.300000	202.928940
-1.350000	0.300000	214.314285
-1.200000	0.300000	224.783234
-1.050000	0.300000	234.374359
-0.900000	0.300000	242.952469
-0.750000	0.300000	250.467896
-0.600000	0.300000	256.785034
-0.450000	0.300000	261.947479
-0.300000	0.300000	265.867493
-0.150000	0.300000	268.502808
0.000000	0.300000	269.757965
0.150000	0.300000	269.610291
0.300000	0.300000	268.088806
0.450000	0.300000	265.208862
0.600000	0.300000	261.064758
0.750000	0.300000	255.718185
0.900000	0.300000	249.258453
1.050000	0.300000	241.645309
1.200000	0.300000	232.969513
1.350000	0.300000	223.203949
1.500000	0.300000	212.578766
1.650000	0.300000	200.958420
1.800000	0.300000	188.755966
1.950000	0.300000	175.886841
2.100000	0.300000	162.870026
2.250000	0.300000	149.566833
2.250000	0.150000	150.764923
2.100000	0.150000	164.033508
1.950000	0.150000	177.137863
1.800000	0.150000	190.033417
1.650000	0.150000	202.382278
1.500000	0.150000	214.010620
1.350000	0.150000	224.721283
1.200000	0.150000	234.495026
1.050000	0.150000	243.233200
0.900000	0.150000	250.895172
0.750000	0.150000	257.397156
0.600000	0.150000	262.792145
0.450000	0.150000	266.992615
0.300000	0.150000	269.913544
0.150000	0.150000	271.467224
-0.000000	0.150000	271.627350
-0.150000	0.150000	270.383484
-0.300000	0.150000	267.732605
-0.450000	0.150000	263.795227
-0.600000	0.150000	258.603790
-0.750000	0.150000	252.216309
-0.900000	0.150000	244.729492
-1.050000	0.150000	236.072556
-1.200000	0.150000	226.434540
-1.350000	0.150000	215.913498
-1.500000	0.150000	204.448166
-1.650000	0.150000	192.412125
-1.800000	0.150000	179.798370
-1.950000	0.150000	167.145660
-2.100000	0.150000	153.886917
-2.250000	0.150000	140.857285
-2.250000	0.000000	141.142776
-2.100000	0.000000	154.227371
-1.950000	0.000000	167.444000
-1.800000	0.000000	180.042236
-1.650000	0.000000	192.681763
-1.500000	0.000000	204.830002
-1.350000	0.000000	216.291061
-1.200000	0.000000	226.830154
-1.050000	0.000000	236.494751
-0.900000	0.000000	245.117157
-0.750000	0.000000	252.665405
-0.600000	0.000000	259.032715
-0.450000	0.000000	264.236267
-0.300000	0.000000	268.201630
-0.150000	0.000000	270.854462
0.000000	0.000000	272.102295
0.150000	0.000000	271.951111
0.300000	0.000000	270.398987
0.450000	0.000000	267.466827
0.600000	0.000000	263.266876
0.750000	0.000000	257.835022
0.900000	0.000000	251.344635
1.050000	0.000000	243.646408
1.200000	0.000000	234.985794
1.350000	0.000000	225.121750
1.500000	0.000000	214.355560
1.650000	0.000000	202.848114
1.800000	0.000000	190.371033
1.950000	0.000000	177.627380
2.100000	0.000000	164.336655
2.250000	0.000000	151.140930
2.400000	0.000000	135.377533
2.250000	-0.150000	150.444672
2.100000	-0.150000	163.502045
1.950000	-0.150000	176.842834
1.800000	-0.150000	189.534378
1.650000	-0.150000	202.013748
1.500000	-0.150000	213.529694
1.350000	-0.150000	224.264236
1.200000	-0.150000	234.112335
1.050000	-0.150000	242.756912
0.900000	-0.150000	250.447830
0.750000	-0.150000	256.944916
0.600000	-0.150000	262.350922
0.450000	-0.150000	266.535034
0.300000	-0.150000	269.465607
0.150000	-0.150000	271.019958
-0.000000	-0.150000	271.187439
-0.150000	-0.150000	269.954315
-0.300000	-0.150000	267.318939
-0.450000	-0.150000	263.394806
-0.600000	-0.150000	258.203308
-0.750000	-0.150000	251.872147
-0.900000	-0.150000	244.370895
-1.050000	-0.150000	235.748016
-1.200000	-0.150000	226.110504
-1.350000	-0.150000	215.550812
-1.500000	-0.150000	204.101013
-1.650000	-0.150000	191.970551
-1.800000	-0.150000	179.346680
-1.950000	-0.150000	166.715424
-2.100000	-0.150000	153.625931
-2.250000	-0.150000	140.611435
-2.250000	-0.300000	139.212585
-2.100000	-0.300000	152.122971
-1.950000	-0.300000	164.931519
-1.800000	-0.300000	177.548004
-1.650000	-0.300000	190.125809
-1.500000	-0.300000	202.167938
-1.350000	-0.300000	213.597824
-1.200000	-0.300000	224.116821
-1.050000	-0.300000	233.735077
-0.900000	-0.300000	242.308868
-0.750000	-0.300000	249.777191
-0.600000	-0.300000	256.044037
-0.450000	-0.300000	261.171661
-0.300000	-0.300000	265.049927
-0.150000	-0.300000	267.639435
0.000000	-0.300000	268.860870
0.150000	-0.300000	268.702057
0.300000	-0.300000	267.168518
0.450000	-0.300000	264.297821
0.600000	-0.300000	260.149567
0.750000	-0.300000	254.818970
0.900000	-0.300000	248.378952
1.050000	-0.300000	240.756500
1.200000	-0.300000	232.058960
1.350000	-0.300000	222.302200
1.500000	-0.300000	211.665726
1.650000	-0.300000	200.141144
1.800000	-0.300000	187.865936
1.950000	-0.300000	175.161774
2.100000	-0.300000	162.124237
2.250000	-0.300000	148.879669
2.250000	-0.450000	146.459549
2.100000	-0.450000	159.461395
1.950000	-0.450000	172.380630
1.800000	-0.450000	184.881485
1.650000	-0.450000	197.091949
1.500000	-0.450000	208.496658
1.350000	-0.450000	219.108673
1.200000	-0.450000	228.741943
1.050000	-0.450000	237.416794
0.900000	-0.450000	245.000168
0.750000	-0.450000	251.386200
0.600000	-0.450000	256.637146
0.450000	-0.450000	260.721985
0.300000	-0.450000	263.538147
0.150000	-0.450000	265.046204
-0.000000	-0.450000	265.209381
-0.150000	-0.450000	264.027130
-0.300000	-0.450000	261.495483
-0.450000	-0.450000	257.697571
-0.600000	-0.450000	252.662506
-0.750000	-0.450000	246.449249
