X (cm)	Y (cm)	Z
1.200000	0.600000	100.230820
1.350000	0.600000	90.258652
1.500000	0.600000	81.108910
1.650000	0.600000	72.995956
1.800000	0.600000	65.787872
1.950000	0.600000	59.415478
2.100000	0.600000	53.789940
2.250000	0.600000	48.618137
2.250000	0.450000	49.218552
2.100000	0.450000	54.380505
1.950000	0.450000	60.108448
1.800000	0.450000	66.626480
1.650000	0.450000	74.043671
1.500000	0.450000	82.371567
1.350000	0.450000	91.771156
1.200000	0.450000	102.007469
1.050000	0.450000	113.610291
0.900000	0.450000	126.575668
0.750000	0.450000	141.360107
0.600000	0.450000	157.743118
0.450000	0.450000	175.998062
0.300000	0.450000	196.137360
0.150000	0.450000	218.699219
-0.000000	0.450000	243.143234
-0.150000	0.450000	269.748352
-0.300000	0.450000	298.833923
-0.450000	0.450000	329.162628
-0.600000	0.450000	360.889130
-0.750000	0.450000	392.652405
-0.900000	0.450000	423.699707
-1.050000	0.450000	451.936615
-1.200000	0.450000	475.919739
-1.350000	0.450000	493.962219
-1.500000	0.450000	504.920990
-1.650000	0.450000	508.041901
-1.800000	0.450000	503.129883
-1.950000	0.450000	490.755920
-2.100000	0.450000	471.509125
-2.250000	0.450000	446.664856
-2.250000	0.300000	455.238281
-2.100000	0.300000	480.383850
-1.950000	0.300000	499.862732
-1.800000	0.300000	512.266479
-1.650000	0.300000	517.275269
-1.500000	0.300000	513.990845
-1.350000	0.300000	502.600922
-1.200000	0.300000	483.997620
-1.050000	0.300000	459.310944
-0.900000	0.300000	430.113586
-0.750000	0.300000	398.214539
-0.600000	0.300000	365.580963
-0.450000	0.300000	333.219421
-0.300000	0.300000	302.052307
-0.150000	0.300000	272.562927
0.000000	0.300000	245.241776
0.150000	0.300000	220.319824
0.300000	0.300000	197.451080
0.450000	0.300000	176.952576
0.600000	0.300000	158.520523
0.750000	0.300000	141.834381
0.900000	0.300000	126.967140
1.050000	0.300000	113.807877
1.200000	0.300000	102.203072
1.350000	0.300000	91.813095
1.500000	0.300000	82.452858
1.650000	0.300000	74.053940
1.800000	0.300000	66.579788
1.950000	0.300000	60.122051
2.100000	0.300000	54.316277
2.250000	0.300000	49.236904
2.250000	0.150000	48.653557
2.100000	0.150000	53.580597
1.950000	0.150000	59.296562
1.800000	0.150000	65.635056
1.650000	0.150000	72.944054
1.500000	0.150000	81.188644
1.350000	0.150000	90.416924
1.200000	0.150000	100.647842
1.050000	0.150000	112.082787
0.900000	0.150000	124.980515
0.750000	0.150000	139.591537
0.600000	0.150000	155.945770
0.450000	0.150000	174.085663
0.300000	0.150000	194.233932
0.150000	0.150000	216.748657
-0.000000	0.150000	241.341797
-0.150000	0.150000	267.991638
-0.300000	0.150000	297.270020
-0.450000	0.150000	327.601624
-0.600000	0.150000	359.722351
-0.750000	0.150000	391.792114
-0.900000	0.150000	423.165527
-1.050000	0.150000	451.914490
-1.200000	0.150000	476.376770
-1.350000	0.150000	494.816742
-1.500000	0.150000	506.230408
-1.650000	0.150000	509.691742
-1.800000	0.150000	505.076965
-1.950000	0.150000	493.215088
-2.100000	0.150000	474.487640
-2.250000	0.150000	450.201477
-2.250000	0.000000	432.125000
-2.100000	0.000000	454.598145
-1.950000	0.000000	471.815491
