X (cm)	Y (cm)	Z
-1.050000	0.750000	140.705124
-1.200000	0.750000	139.915924
-1.350000	0.750000	139.058014
-1.500000	0.750000	138.031296
-1.650000	0.750000	136.743301
-1.800000	0.750000	135.014847
-1.950000	0.750000	132.751678
-2.100000	0.750000	129.741409
-2.250000	0.750000	124.764809
-2.250000	0.600000	126.910789
-2.100000	0.600000	130.716827
-1.950000	0.600000	133.548950
-1.800000	0.600000	135.651108
-1.650000	0.600000	137.249542
-1.500000	0.600000	138.474258
-1.350000	0.600000	139.454483
-1.200000	0.600000	140.320953
-1.050000	0.600000	141.161804
-0.900000	0.600000	142.024445
-0.750000	0.600000	142.921204
-0.600000	0.600000	143.802338
-0.450000	0.600000	144.615982
-0.300000	0.600000	145.299240
-0.150000	0.600000	145.781128
0.000000	0.600000	146.014008
0.150000	0.600000	145.969131
0.300000	0.600000	145.648666
0.450000	0.600000	145.101593
0.600000	0.600000	144.384338
0.750000	0.600000	143.576126
0.900000	0.600000	142.733551
1.050000	0.600000	141.907700
1.200000	0.600000	141.100906
1.350000	0.600000	140.308640
1.500000	0.600000	139.438202
1.650000	0.600000	138.400757
1.800000	0.600000	137.055664
1.950000	0.600000	135.213760
2.100000	0.600000	132.740005
2.250000	0.600000	129.201172
2.250000	0.450000	130.133728
2.100000	0.450000	133.371063
1.950000	0.450000	135.716431
1.800000	0.450000	137.452942
1.650000	0.450000	138.737030
1.500000	0.450000	139.786011
1.350000	0.450000	140.622742
1.200000	0.450000	141.444885
1.050000	0.450000	142.328033
0.900000	0.450000	143.244766
0.750000	0.450000	144.205521
0.600000	0.450000	145.124802
0.450000	0.450000	145.955170
0.300000	0.450000	146.595367
0.150000	0.450000	146.964066
-0.000000	0.450000	147.029831
-0.150000	0.450000	146.765594
-0.300000	0.450000	146.217010
-0.450000	0.450000	145.435989
-0.600000	0.450000	144.505402
-0.750000	0.450000	143.508942
-0.900000	0.450000	142.516754
-1.050000	0.450000	141.551163
-1.200000	0.450000	140.656235
-1.350000	0.450000	139.757584
-1.500000	0.450000	138.793594
-1.650000	0.450000	137.617661
-1.800000	0.450000	136.128937
-1.950000	0.450000	134.144440
-2.100000	0.450000	131.441803
-2.250000	0.450000	127.890564
-2.250000	0.300000	128.482498
-2.100000	0.300000	131.920990
-1.950000	0.300000	134.458099
-1.800000	0.300000	136.408051
-1.650000	0.300000	137.853348
-1.500000	0.300000	139.001358
-1.350000	0.300000	139.969162
-1.200000	0.300000	140.889893
-1.050000	0.300000	141.842987
-0.900000	0.300000	142.886429
-0.750000	0.300000	143.964111
-0.600000	0.300000	145.058121
-0.450000	0.300000	146.073578
-0.300000	0.300000	146.938385
-0.150000	0.300000	147.546753
0.000000	0.300000	147.839325
0.150000	0.300000	147.764435
0.300000	0.300000	147.349228
0.450000	0.300000	146.651642
0.600000	0.300000	145.740692
0.750000	0.300000	144.726959
0.900000	0.300000	143.676315
1.050000	0.300000	142.665848
1.200000	0.300000	141.725113
1.350000	0.300000	140.852036
1.500000	0.300000	139.965057
1.650000	0.300000	138.988022
1.800000	0.300000	137.749023
1.950000	0.300000	136.105820
2.100000	0.300000	133.831146
2.250000	0.300000	130.779434
2.250000	0.150000	131.065491
2.100000	0.150000	134.015259
1.950000	0.150000	136.256134
1.800000	0.150000	137.855377
1.650000	0.150000	139.086411
1.500000	0.150000	140.049240
1.350000	0.150000	140.954361
1.200000	0.150000	141.848602
1.050000	0.150000	142.836685
0.900000	0.150000	143.888519
0.750000	0.150000	145.001007
0.600000	0.150000	146.070862
0.450000	0.150000	147.041855
0.300000	0.150000	147.806244
0.150000	0.150000	148.247055
-0.000000	0.150000	148.311798
-0.150000	0.150000	148.032898
-0.300000	0.150000	147.391342
-0.450000	0.150000	146.483063
-0.600000	0.150000	145.405243
-0.750000	0.150000	144.251083
-0.900000	0.150000	143.113480
-1.050000	0.150000	142.030289
-1.200000	0.150000	141.033585
-1.350000	0.150000	140.085907
-1.500000	0.150000	139.112701
-1.650000	0.150000	137.983795
-1.800000	0.150000	136.562103
-1.950000	0.150000	134.658630
-2.100000	0.150000	132.182037
-2.250000	0.150000	128.809067
-2.250000	0.000000	128.855743
-2.100000	0.000000	132.203262
-1.950000	0.000000	134.670212
-1.800000	0.000000	136.571960
-1.650000	0.000000	137.987289
-1.500000	0.000000	139.115311
-1.350000	0.000000	140.098190
-1.200000	0.000000	141.051666
-1.050000	0.000000	142.065445
-0.900000	0.000000	143.165680
-0.750000	0.000000	144.317627
-0.600000	0.000000	145.490845
-0.450000	0.000000	146.577591
-0.300000	0.000000	147.508179
-0.150000	0.000000	148.161240
0.000000	0.000000	148.452209
0.150000	0.000000	148.388824
0.300000	0.000000	147.935181
0.450000	0.000000	147.170029
0.600000	0.000000	146.179291
0.750000	0.000000	145.084702
0.900000	0.000000	143.961884
1.050000	0.000000	142.891510
1.200000	0.000000	141.890701
1.350000	0.000000	140.967651
1.500000	0.000000	140.085587
1.650000	0.000000	139.103958
1.800000	0.000000	137.897110
1.950000	0.000000	136.270370
2.100000	0.000000	134.054581
2.250000	0.000000	131.090546
2.400000	0.000000	125.259460
2.250000	-0.150000	130.876328
2.100000	-0.150000	133.871933
1.950000	-0.150000	136.131439
1.800000	-0.150000	137.782913
1.650000	-0.150000	139.006195
1.500000	-0.150000	139.995270
1.350000	-0.150000	140.880722
1.200000	-0.150000	141.792343
1.050000	-0.150000	142.770630
0.900000	-0.150000	143.813004
0.750000	-0.150000	144.914612
0.600000	-0.150000	145.978973
0.450000	-0.150000	146.944214
0.300000	-0.150000	147.695221
0.150000	-0.150000	148.131683
-0.000000	-0.150000	148.215546
-0.150000	-0.150000	147.922073
-0.300000	-0.150000	147.284775
-0.450000	-0.150000	146.394821
-0.600000	-0.150000	145.323715
-0.750000	-0.150000	144.182877
-0.900000	-0.150000	143.048553
-1.050000	-0.150000	141.969055
-1.200000	-0.150000	140.972565
-1.350000	-0.150000	140.021606
-1.500000	-0.150000	139.030136
-1.650000	-0.150000	137.888870
-1.800000	-0.150000	136.451599
-1.950000	-0.150000	134.536270
-2.100000	-0.150000	132.017059
-2.250000	-0.150000	128.666611
-2.250000	-0.300000	128.156448
-2.100000	-0.300000	131.607330
-1.950000	-0.300000	134.223633
-1.800000	-0.300000	136.190216
-1.650000	-0.300000	137.671295
-1.500000	-0.300000	138.841095
-1.350000	-0.300000	139.834610
-1.200000	-0.300000	140.771713
-1.050000	-0.300000	141.734161
-0.900000	-0.300000	142.756805
-0.750000	-0.300000	143.830597
-0.600000	-0.300000	144.902512
-0.450000	-0.300000	145.905624
-0.300000	-0.300000	146.745636
-0.150000	-0.300000	147.339874
0.000000	-0.300000	147.611969
0.150000	-0.300000	147.543152
0.300000	-0.300000	147.130981
0.450000	-0.300000	146.439240
0.600000	-0.300000	145.545639
0.750000	-0.300000	144.546127
0.900000	-0.300000	143.506149
1.050000	-0.300000	142.526657
1.200000	-0.300000	141.593872
1.350000	-0.300000	140.722290
1.500000	-0.300000	139.822708
1.650000	-0.300000	138.843872
1.800000	-0.300000	137.560516
1.950000	-0.300000	135.900742
2.100000	-0.300000	133.579651
2.250000	-0.300000	130.445633
2.250000	-0.450000	129.707840
2.100000	-0.450000	132.975662
1.950000	-0.450000	135.426636
1.800000	-0.450000	137.178497
1.650000	-0.450000	138.531540
1.500000	-0.450000	139.537628
1.350000	-0.450000	140.433609
1.200000	-0.450000	141.262695
1.050000	-0.450000	142.136063
0.900000	-0.450000	143.031555
0.750000	-0.450000	143.971344
0.600000	-0.450000	144.859314
